,x,y
0,1,23.5
1,3,18.0
2,5,11.5
3,7,11.0
4,9,10.5
5,11,8.0
6,13,4.5
7,15,6.0
8,17,3.0
9,19,6.5
10,21,3.0
11,23,2.0
12,25,3.5
13,27,2.5
14,29,2.0
15,31,2.0
16,33,1.0
17,35,3.5
18,37,
19,39,1.0
20,41,1.0
21,43,1.5
22,45,1.0
23,47,
24,49,1.0
25,51,3.0
26,53,
27,55,1.0
28,57,
29,59,
30,61,1.0
31,63,
32,65,
33,67,
34,69,2.0
35,71,
36,73,1.0
37,75,
38,77,1.0
39,79,
40,81,
41,83,
42,85,
43,87,1.0
44,89,
45,91,
46,93,
47,95,1.0
48,97,
49,99,
50,101,
51,103,
52,105,
53,107,
54,109,
55,111,
56,113,
57,115,
58,117,
59,119,
60,121,
61,123,
62,125,
63,127,
64,129,
65,131,
66,133,
67,135,
68,137,
69,139,
70,141,
71,143,
72,145,
73,147,
74,149,
75,151,
76,153,
77,155,
78,157,
79,159,
80,161,
81,163,
82,165,
83,167,
84,169,
85,171,
86,173,
87,175,
88,177,
89,179,
90,181,
91,183,
92,185,
93,187,
94,189,
95,191,
96,193,
97,195,
98,197,
99,199,
100,201,
101,203,
102,205,
103,207,
104,209,
105,211,
106,213,
107,215,
108,217,
109,219,
110,221,
111,223,
112,225,
113,227,
114,229,
115,231,
116,233,
117,235,
118,237,
119,239,
120,241,
121,243,
122,245,
123,247,
124,249,
125,251,
126,253,
127,255,
128,257,
129,259,
130,261,
131,263,
132,265,
133,267,
134,269,
135,271,
136,273,
137,275,
138,277,
139,279,
140,281,
141,283,
142,285,
143,287,
144,289,
145,291,
146,293,
147,295,
148,297,
149,299,
