,x,y
0,1,31.11111111111111
1,3,17.22222222222222
2,5,10.0
3,7,13.88888888888889
4,9,10.555555555555555
5,11,10.0
6,13,5.0
7,15,5.555555555555555
8,17,6.666666666666666
9,19,5.0
10,21,3.888888888888889
11,23,2.2222222222222223
12,25,2.7777777777777777
13,27,1.6666666666666665
14,29,1.6666666666666665
15,31,1.1111111111111112
16,33,2.2222222222222223
17,35,2.7777777777777777
18,37,1.1111111111111112
19,39,1.6666666666666665
20,41,1.1111111111111112
21,43,
22,45,
23,47,1.1111111111111112
24,49,
25,51,1.1111111111111112
26,53,1.1111111111111112
27,55,
28,57,1.1111111111111112
29,59,
30,61,1.1111111111111112
31,63,1.1111111111111112
32,65,
33,67,
34,69,1.1111111111111112
35,71,
36,73,
37,75,
38,77,
39,79,
40,81,
41,83,1.1111111111111112
42,85,
43,87,
44,89,
45,91,
46,93,
47,95,
48,97,
49,99,
50,101,1.1111111111111112
51,103,
52,105,
53,107,
54,109,
55,111,
56,113,
57,115,
58,117,
59,119,
60,121,
61,123,
62,125,
63,127,
64,129,
65,131,
66,133,
67,135,
68,137,
69,139,
70,141,
71,143,
72,145,
73,147,
74,149,
75,151,
76,153,
77,155,
78,157,
79,159,
80,161,
81,163,
82,165,
83,167,
84,169,
85,171,
86,173,
87,175,
88,177,
89,179,
90,181,
91,183,
92,185,
93,187,
94,189,
95,191,
96,193,
97,195,
98,197,
99,199,
100,201,
101,203,
102,205,
103,207,
104,209,
105,211,
106,213,
107,215,
108,217,
109,219,
110,221,
111,223,
112,225,
113,227,
114,229,
115,231,
116,233,
117,235,
118,237,
119,239,
120,241,
121,243,
122,245,
123,247,
124,249,
125,251,
126,253,
127,255,
128,257,
129,259,
130,261,
131,263,
132,265,
133,267,
134,269,
135,271,
136,273,
137,275,
138,277,
139,279,
140,281,
141,283,
142,285,
143,287,
144,289,
145,291,
146,293,
147,295,
148,297,
149,299,
