,x,y
0,1,17.5
1,3,12.0
2,5,11.5
3,7,7.5
4,9,8.0
5,11,9.0
6,13,4.0
7,15,4.0
8,17,4.0
9,19,4.5
10,21,5.5
11,23,4.0
12,25,6.5
13,27,1.5
14,29,2.5
15,31,2.0
16,33,2.5
17,35,2.0
18,37,2.0
19,39,2.5
20,41,2.0
21,43,2.5
22,45,
23,47,2.0
24,49,6.0
25,51,1.0
26,53,2.5
27,55,
28,57,2.5
29,59,1.0
30,61,1.5
31,63,2.0
32,65,1.0
33,67,1.0
34,69,
35,71,2.0
36,73,
37,75,1.0
38,77,
39,79,2.0
40,81,
41,83,
42,85,2.0
43,87,
44,89,1.0
45,91,1.0
46,93,
47,95,
48,97,
49,99,1.0
50,101,1.0
51,103,1.5
52,105,
53,107,
54,109,1.0
55,111,
56,113,
57,115,1.0
58,117,
59,119,1.0
60,121,
61,123,
62,125,1.0
63,127,
64,129,1.0
65,131,
66,133,
67,135,
68,137,2.0
69,139,
70,141,
71,143,
72,145,
73,147,
74,149,
75,151,1.0
76,153,1.0
77,155,
78,157,
79,159,
80,161,
81,163,
82,165,
83,167,
84,169,
85,171,
86,173,1.0
87,175,
88,177,1.0
89,179,
90,181,
91,183,
92,185,1.0
93,187,
94,189,
95,191,
96,193,
97,195,
98,197,
99,199,1.0
100,201,
101,203,1.0
102,205,
103,207,
104,209,
105,211,
106,213,
107,215,
108,217,
109,219,
110,221,
111,223,
112,225,
113,227,
114,229,
115,231,
116,233,
117,235,
118,237,
119,239,
120,241,
121,243,
122,245,
123,247,
124,249,
125,251,
126,253,
127,255,
128,257,
129,259,
130,261,
131,263,
132,265,
133,267,
134,269,
135,271,
136,273,
137,275,
138,277,
139,279,
140,281,
141,283,
142,285,
143,287,
144,289,
145,291,
146,293,
147,295,
148,297,
149,299,
