,x,y
0,-1.0,1.5005598823172372e-74
1,-0.999,2.1019449583324688e-74
2,-0.998,2.943376234674079e-74
3,-0.997,4.120279240858812e-74
4,-0.996,5.7658581385820445e-74
5,-0.995,8.065990149089656e-74
6,-0.994,1.1279967625529686e-73
7,-0.993,1.576937390128799e-73
8,-0.992,2.20382689983245e-73
9,-0.991,3.0789096186893966e-73
10,-0.99,4.300043337669179e-73
11,-0.989,6.003508866889707e-73
12,-0.988,8.379033210750108e-73
13,-0.987,1.16906618474855e-72
14,-0.986,1.630574766528487e-72
15,-0.985,2.2735199389048914e-72
16,-0.984,3.1689344003965763e-72
17,-0.983,4.415543445848784e-72
18,-0.982,6.150515355507009e-72
19,-0.981,8.564367278345908e-72
20,-0.98,1.1921625952777286e-71
21,-0.979,1.6589455470511144e-71
22,-0.978,2.3077310965023453e-71
23,-0.977,3.209184640041915e-71
24,-0.976,4.4612918932993925e-71
25,-0.975,6.199876021715605e-71
26,-0.974,8.61314587208084e-71
27,-0.973,1.1961813626026398e-70
28,-0.972,1.6606904648316622e-70
29,-0.971,2.304818781456299e-70
30,-0.97,3.1977264410820067e-70
31,-0.969,4.4350882235968646e-70
32,-0.968,6.149214608010948e-70
33,-0.967,8.523019237288628e-70
34,-0.966,1.180928812541064e-69
35,-0.965,1.635725410486869e-69
36,-0.964,2.264923373203188e-69
37,-0.963,3.135111985468576e-69
38,-0.962,4.3381946526593073e-69
39,-0.961,6.000969820022152e-69
40,-0.96,8.29832198798881e-69
41,-0.959,1.1471377010188617e-68
42,-0.958,1.5852481530615659e-68
43,-0.957,2.189956004567513e-68
44,-0.956,3.024335420801549e-68
45,-0.955,4.175235277413009e-68
46,-0.954,5.762200718471035e-68
47,-0.953,7.949727511017826e-68
48,-0.952,1.096408856316834e-67
49,-0.951,1.511643074180347e-67
50,-0.95,2.0834467927583005e-67
51,-0.949,2.8705955067529647e-67
52,-0.948,3.953830244180384e-67
53,-0.947,5.4440294907757854e-67
54,-0.946,7.493407500944422e-67
55,-0.945,1.0310854629375013e-66
56,-0.944,1.4182944668458112e-66
57,-0.943,1.9502693022283352e-66
58,-0.942,2.680891222441601e-66
59,-0.941,3.6840051804635557e-66
60,-0.94,5.060782854980268e-66
61,-0.9390000000000001,6.949788784530869e-66
62,-0.938,9.540737347160187e-66
63,-0.937,1.3093287550397648e-65
64,-0.9359999999999999,1.7962711848357381e-65
65,-0.935,2.463494131601513e-65
66,-0.9339999999999999,3.377439611146799e-65
67,-0.933,4.628924364906523e-65
68,-0.9319999999999999,6.342040458632992e-65
69,-0.931,8.686290777437519e-65
70,-0.9299999999999999,1.1893129567859697e-64
71,-0.929,1.6278499429162262e-64
72,-0.9279999999999999,2.227352832425917e-64
73,-0.927,3.046632706827927e-64
74,-0.926,4.1658882249079614e-64
75,-0.925,5.694447035147839e-64
76,-0.924,7.781295963424363e-64
77,-0.923,1.062939979065876e-63
78,-0.922,1.4515165145311643e-63
79,-0.921,1.9814889388082707e-63
80,-0.92,2.7040689099645224e-63
81,-0.919,3.6889289361297476e-63
82,-0.918,5.030825513266164e-63
83,-0.917,6.858587000808894e-63
84,-0.916,9.347306442887886e-63
85,-0.915,1.2734876607851604e-62
86,-0.914,1.734440609278778e-62
87,-0.913,2.361459800477613e-62
88,-0.912,3.2140905808837895e-62
89,-0.911,4.3731270900142195e-62
90,-0.91,5.948158288066327e-62
91,-0.909,8.087780703161423e-62
92,-0.908,1.0993415649469233e-61
93,-0.907,1.4937996781929633e-61
94,-0.906,2.0291236193817733e-61
95,-0.905,2.755377339250009e-61
96,-0.904,3.7403314600519154e-61
97,-0.903,5.075695142199019e-61
98,-0.902,6.885530405615948e-61
99,-0.901,9.337609396743034e-61
100,-0.9,1.265873874936904e-60
101,-0.899,1.7155429785123102e-60
102,-0.898,2.3241770042121793e-60
103,-0.897,3.1476992363811354e-60
104,-0.896,4.2616098647917795e-60
105,-0.895,5.76780515762013e-60
106,-0.894,7.803760002225248e-60
107,-0.893,1.0554888739143134e-59
108,-0.892,1.4271178768677168e-59
109,-0.891,1.928956636339154e-59
110,-0.89,2.606402685836078e-59
111,-0.889,3.520602523346896e-59
112,-0.888,4.7538875974752235e-59
113,-0.887,6.417077043678328e-59
114,-0.886,8.659284919571084e-59
115,-0.885,1.1681086430011659e-58
116,-0.884,1.575218764632041e-58
117,-0.883,2.123513114756149e-58
118,-0.882,2.861708872321172e-58
119,-0.881,3.85524856341707e-58
120,-0.88,5.192012741893331e-58
121,-0.879,6.989973781912201e-58
122,-0.878,9.407446898032461e-58
123,-0.877,1.2656815106546003e-57
124,-0.876,1.7022899211115115e-57
125,-0.875,2.288753657237772e-57
126,-0.874,3.076245605704016e-57
127,-0.873,4.133323459419375e-57
128,-0.872,5.551805096016421e-57
129,-0.871,7.454619156060185e-57
130,-0.87,1.0006291313209513e-56
131,-0.869,1.3426946401955043e-56
132,-0.868,1.8010998904593667e-56
133,-0.867,2.415209319993853e-56
134,-0.866,3.2376372162781054e-56
135,-0.865,4.338684025760982e-56
136,-0.864,5.8122501002043095e-56
137,-0.863,7.783716257314325e-56
138,-0.862,1.0420441744874885e-55
139,-0.861,1.3945744222210305e-55
140,-0.86,1.8657510414398244e-55
141,-0.859,2.49529629302063e-55
142,-0.858,3.336160850833727e-55
143,-0.857,4.4589055548929776e-55
144,-0.856,5.957526694210982e-55
145,-0.855,7.957197765437985e-55
146,-0.854,1.0624554743613126e-54
147,-0.853,1.4181355912797647e-54
148,-0.852,1.8922617317826815e-54
149,-0.851,2.5240682144807449e-54
