,x,y
0,1,25.0
1,3,14.5
2,5,12.5
3,7,13.5
4,9,9.5
5,11,7.5
6,13,7.0
7,15,6.5
8,17,5.5
9,19,5.5
10,21,4.5
11,23,3.5
12,25,7.0
13,27,3.0
14,29,2.5
15,31,5.0
16,33,3.0
17,35,5.0
18,37,4.0
19,39,2.5
20,41,5.0
21,43,1.5
22,45,1.0
23,47,5.0
24,49,3.0
25,51,2.5
26,53,2.0
27,55,1.0
28,57,3.0
29,59,3.0
30,61,1.5
31,63,2.0
32,65,1.0
33,67,1.0
34,69,3.0
35,71,
36,73,
37,75,1.0
38,77,1.0
39,79,2.0
40,81,
41,83,
42,85,1.0
43,87,
44,89,
45,91,1.0
46,93,1.0
47,95,
48,97,
49,99,
50,101,1.0
51,103,1.0
52,105,
53,107,2.0
54,109,1.0
55,111,
56,113,
57,115,
58,117,
59,119,
60,121,
61,123,1.0
62,125,1.0
63,127,1.5
64,129,1.0
65,131,1.0
66,133,
67,135,
68,137,1.0
69,139,
70,141,
71,143,1.0
72,145,
73,147,
74,149,1.0
75,151,
76,153,1.0
77,155,1.0
78,157,
79,159,1.0
80,161,1.0
81,163,
82,165,
83,167,
84,169,
85,171,
86,173,
87,175,
88,177,1.0
89,179,
90,181,
91,183,
92,185,
93,187,
94,189,
95,191,
96,193,
97,195,
98,197,1.0
99,199,
100,201,
101,203,
102,205,
103,207,
104,209,
105,211,
106,213,
107,215,
108,217,
109,219,
110,221,
111,223,
112,225,
113,227,
114,229,1.0
115,231,
116,233,
117,235,
118,237,
119,239,
120,241,
121,243,
122,245,
123,247,
124,249,
125,251,
126,253,
127,255,
128,257,
129,259,
130,261,
131,263,
132,265,
133,267,
134,269,
135,271,
136,273,
137,275,
138,277,1.0
139,279,
140,281,
141,283,
142,285,
143,287,
144,289,
145,291,
146,293,
147,295,
148,297,
149,299,
