,x,y
0,1,25.0
1,3,18.0
2,5,8.0
3,7,7.5
4,9,10.5
5,11,12.5
6,13,3.5
7,15,10.5
8,17,4.5
9,19,4.5
10,21,7.5
11,23,4.0
12,25,3.0
13,27,5.5
14,29,3.0
15,31,3.0
16,33,3.0
17,35,5.5
18,37,3.5
19,39,2.0
20,41,1.5
21,43,3.0
22,45,2.0
23,47,5.5
24,49,4.5
25,51,2.0
26,53,1.0
27,55,3.0
28,57,2.5
29,59,1.0
30,61,1.5
31,63,2.0
32,65,
33,67,2.0
34,69,
35,71,1.0
36,73,1.0
37,75,1.0
38,77,1.0
39,79,1.0
40,81,1.0
41,83,1.0
42,85,
43,87,
44,89,1.0
45,91,
46,93,
47,95,1.0
48,97,1.0
49,99,
50,101,1.0
51,103,
52,105,
53,107,1.0
54,109,
55,111,2.0
56,113,
57,115,
58,117,
59,119,
60,121,1.0
61,123,1.0
62,125,1.0
63,127,
64,129,
65,131,
66,133,1.0
67,135,
68,137,
69,139,
70,141,
71,143,1.0
72,145,1.5
73,147,1.0
74,149,
75,151,1.0
76,153,1.0
77,155,
78,157,1.0
79,159,
80,161,
81,163,
82,165,
83,167,1.0
84,169,
85,171,1.0
86,173,
87,175,
88,177,
89,179,
90,181,1.0
91,183,
92,185,
93,187,
94,189,
95,191,
96,193,
97,195,
98,197,
99,199,
100,201,
101,203,
102,205,
103,207,1.0
104,209,1.0
105,211,
106,213,
107,215,
108,217,1.0
109,219,
110,221,
111,223,
112,225,
113,227,
114,229,
115,231,
116,233,
117,235,
118,237,
119,239,
120,241,
121,243,
122,245,
123,247,
124,249,
125,251,
126,253,
127,255,
128,257,
129,259,
130,261,
131,263,1.0
132,265,
133,267,
134,269,
135,271,
136,273,
137,275,
138,277,
139,279,
140,281,
141,283,
142,285,
143,287,
144,289,
145,291,
146,293,
147,295,
148,297,
149,299,
