,x,y
0,1,36.875
1,3,14.375
2,5,19.375
3,7,10.0
4,9,14.375
5,11,11.875
6,13,9.375
7,15,6.875
8,17,8.125
9,19,6.875
10,21,3.125
11,23,7.5
12,25,5.0
13,27,4.375
14,29,6.25
15,31,6.875
16,33,5.0
17,35,2.5
18,37,3.125
19,39,4.375
20,41,4.375
21,43,6.25
22,45,3.75
23,47,3.125
24,49,
25,51,3.75
26,53,1.25
27,55,1.25
28,57,
29,59,1.875
30,61,1.25
31,63,1.25
32,65,1.25
33,67,1.25
34,69,1.875
35,71,
36,73,
37,75,1.25
38,77,1.25
39,79,1.25
40,81,
41,83,1.25
42,85,2.5
43,87,
44,89,
45,91,2.5
46,93,
47,95,1.25
48,97,
49,99,
50,101,
51,103,1.25
52,105,
53,107,1.25
54,109,
55,111,
56,113,1.25
57,115,1.25
58,117,1.25
59,119,1.25
60,121,1.25
61,123,
62,125,
63,127,
64,129,1.25
65,131,
66,133,1.25
67,135,
68,137,
69,139,
70,141,
71,143,
72,145,1.25
73,147,
74,149,1.25
75,151,
76,153,1.25
77,155,
78,157,
79,159,
80,161,
81,163,
82,165,1.25
83,167,
84,169,
85,171,1.25
86,173,
87,175,
88,177,
89,179,
90,181,
91,183,
92,185,
93,187,
94,189,
95,191,
96,193,
97,195,
98,197,
99,199,
100,201,
101,203,
102,205,
103,207,1.25
104,209,
105,211,
106,213,
107,215,1.25
108,217,
109,219,
110,221,
111,223,
112,225,
113,227,
114,229,
115,231,
116,233,
117,235,
118,237,
119,239,
120,241,
121,243,1.25
122,245,
123,247,
124,249,1.25
125,251,
126,253,
127,255,
128,257,
129,259,
130,261,
131,263,
132,265,
133,267,
134,269,
135,271,
136,273,
137,275,
138,277,
139,279,
140,281,
141,283,
142,285,
143,287,
144,289,
145,291,
146,293,
147,295,
148,297,
149,299,
