,x,y
0,-1.0,3.4193555916057165e-90
1,-0.999,5.14102311779291e-90
2,-0.998,7.726470107170924e-90
3,-0.997,1.1607507764277662e-89
4,-0.996,1.7431032763002492e-89
5,-0.995,2.616577109363352e-89
6,-0.994,3.9261802898485974e-89
7,-0.993,5.8888870079989035e-89
8,-0.992,8.82922301364458e-89
9,-0.991,1.3232382126334012e-88
10,-0.99,1.9823478475732918e-88
11,-0.989,2.9685746560327275e-88
12,-0.988,4.44367583112504e-88
13,-0.987,6.649102770431806e-88
14,-0.986,9.945119455278273e-88
15,-0.985,1.4869050779362386e-87
16,-0.984,2.2221980770502016e-87
17,-0.983,3.3197744067027805e-87
18,-0.982,4.957476449053241e-87
19,-0.981,7.400124547645503e-87
20,-0.98,1.1041896724319841e-86
21,-0.979,1.6469280056725656e-86
22,-0.978,2.4554541595335722e-86
23,-0.977,3.6594458829022704e-86
24,-0.976,5.451614142919178e-86
25,-0.975,8.118226653020215e-86
26,-0.974,1.2084356172845356e-85
27,-0.973,1.7980929748150905e-85
28,-0.972,2.6744042488747964e-85
29,-0.971,3.9762002206916536e-85
30,-0.97,5.909295649318582e-85
31,-0.969,8.778685181040604e-85
32,-0.968,1.3036154919022564e-84
33,-0.967,1.9350662272193753e-84
34,-0.966,2.871232993142883e-84
35,-0.965,4.258604616661483e-84
36,-0.964,6.313824231504938e-84
37,-0.963,9.357157438046678e-84
38,-0.962,1.3861865100571467e-83
39,-0.961,2.0527009424238438e-83
40,-0.96,3.038477169592498e-83
41,-0.959,4.495857687054217e-83
42,-0.958,6.649598379974319e-83
43,-0.957,9.831155335651496e-83
44,-0.956,1.4529142483201044e-82
45,-0.955,2.1463556681366526e-82
46,-0.954,3.1694921368574776e-82
47,-0.953,4.678471087554881e-82
48,-0.952,6.903105382967208e-82
49,-0.951,1.018149000027187e-81
50,-0.95,1.501082137291096e-81
51,-0.949,2.2121972953240136e-81
52,-0.948,3.258888782042674e-81
53,-0.947,4.798897830334144e-81
54,-0.946,7.063822057011295e-81
55,-0.945,1.0393558849344955e-80
56,-0.944,1.5286747443238572e-80
57,-0.943,2.2474611017514484e-80
58,-0.942,3.3029010220157916e-80
59,-0.941,4.852049436266669e-80
60,-0.94,7.124939108003045e-80
61,-0.9390000000000001,1.0458354993496154e-79
62,-0.938,1.5345176342704805e-79
63,-0.937,2.2506433009369416e-79
64,-0.9359999999999999,3.2996489594140315e-79
65,-0.935,4.8356525658363155e-79
66,-0.9339999999999999,7.083839669347657e-79
67,-0.933,1.0373101764081753e-78
