,x,y
0,1,52.0
1,3,25.5
2,5,16.5
3,7,14.5
4,9,10.0
5,11,6.0
6,13,4.5
7,15,6.0
8,17,6.0
9,19,7.5
10,21,7.0
11,23,8.0
12,25,5.5
13,27,4.5
14,29,4.5
15,31,3.0
16,33,4.0
17,35,4.0
18,37,3.5
19,39,3.0
20,41,6.0
21,43,4.5
22,45,3.5
23,47,2.0
24,49,2.0
25,51,2.5
26,53,1.5
27,55,2.5
28,57,3.0
29,59,3.5
30,61,1.0
31,63,2.5
32,65,2.5
33,67,2.0
34,69,2.0
35,71,1.5
36,73,1.0
37,75,2.0
38,77,1.0
39,79,1.5
40,81,1.0
41,83,1.0
42,85,1.0
43,87,1.0
44,89,1.0
45,91,2.0
46,93,0.0
47,95,2.0
48,97,1.0
49,99,1.5
50,101,1.0
51,103,1.0
52,105,0.0
53,107,1.0
54,109,1.0
55,111,1.0
56,113,0.0
57,115,1.0
58,117,2.0
59,119,1.0
60,121,1.0
61,123,1.5
62,125,1.5
63,127,2.0
64,129,2.0
65,131,0.0
66,133,1.5
67,135,1.5
68,137,1.5
69,139,1.0
70,141,0.0
71,143,0.0
72,145,0.0
73,147,0.0
74,149,0.0
75,151,1.0
76,153,0.0
77,155,0.0
78,157,1.0
79,159,0.0
80,161,1.0
81,163,1.0
82,165,1.0
83,167,1.0
84,169,0.0
85,171,0.0
86,173,1.5
87,175,0.0
88,177,1.0
89,179,0.0
90,181,0.0
91,183,2.0
92,185,1.0
93,187,1.0
94,189,1.0
95,191,2.0
96,193,1.0
97,195,0.0
98,197,1.0
99,199,0.0
100,201,0.0
101,203,1.0
102,205,1.0
103,207,0.0
104,209,0.0
105,211,0.0
106,213,0.0
107,215,0.0
108,217,0.0
109,219,1.0
110,221,0.0
111,223,1.0
112,225,0.0
113,227,1.0
114,229,1.0
115,231,0.0
116,233,1.0
117,235,0.0
118,237,0.0
119,239,0.0
120,241,0.0
121,243,0.0
122,245,0.0
123,247,1.0
124,249,0.0
125,251,1.0
126,253,0.0
127,255,0.0
128,257,1.0
129,259,0.0
130,261,0.0
131,263,0.0
132,265,0.0
133,267,0.0
134,269,0.0
135,271,0.0
136,273,0.0
137,275,0.0
138,277,0.0
139,279,0.0
140,281,0.0
141,283,0.0
142,285,0.0
143,287,0.0
144,289,0.0
145,291,0.0
146,293,1.0
147,295,1.0
148,297,0.0
149,299,1.0
