,x,y
0,1,50.0
1,3,22.0
2,5,13.5
3,7,16.0
4,9,7.5
5,11,7.5
6,13,9.0
7,15,5.0
8,17,7.0
9,19,5.0
10,21,6.0
11,23,3.5
12,25,4.0
13,27,3.5
14,29,7.0
15,31,5.5
16,33,4.5
17,35,1.5
18,37,5.0
19,39,3.0
20,41,4.0
21,43,6.0
22,45,2.0
23,47,4.0
24,49,6.0
25,51,4.0
26,53,2.0
27,55,2.5
28,57,3.0
29,59,2.5
30,61,2.0
31,63,1.5
32,65,3.0
33,67,1.5
34,69,2.0
35,71,2.0
36,73,2.0
37,75,1.0
38,77,1.0
39,79,3.0
40,81,2.0
41,83,1.0
42,85,1.0
43,87,3.0
44,89,1.0
45,91,1.0
46,93,1.5
47,95,2.0
48,97,1.0
49,99,1.0
50,101,1.0
51,103,1.0
52,105,1.5
53,107,1.5
54,109,1.0
55,111,1.0
56,113,1.0
57,115,1.0
58,117,2.0
59,119,1.0
60,121,1.0
61,123,1.0
62,125,0.0
63,127,1.0
64,129,1.5
65,131,0.0
66,133,1.0
67,135,1.0
68,137,1.0
69,139,1.0
70,141,1.0
71,143,2.0
72,145,0.0
73,147,1.0
74,149,1.5
75,151,1.0
76,153,1.0
77,155,0.0
78,157,1.0
79,159,1.0
80,161,1.0
81,163,1.5
82,165,1.0
83,167,0.0
84,169,1.0
85,171,0.0
86,173,1.0
87,175,1.0
88,177,3.0
89,179,0.0
90,181,1.0
91,183,1.0
92,185,0.0
93,187,2.0
94,189,0.0
95,191,0.0
96,193,0.0
97,195,2.0
98,197,0.0
99,199,1.0
100,201,0.0
101,203,1.0
102,205,0.0
103,207,0.0
104,209,0.0
105,211,0.0
106,213,1.0
107,215,0.0
108,217,0.0
109,219,1.0
110,221,2.0
111,223,0.0
112,225,1.0
113,227,0.0
114,229,1.0
115,231,0.0
116,233,1.0
117,235,1.0
118,237,1.0
119,239,0.0
120,241,1.0
121,243,0.0
122,245,0.0
123,247,0.0
124,249,1.0
125,251,1.0
126,253,0.0
127,255,0.0
128,257,1.0
129,259,0.0
130,261,1.0
131,263,0.0
132,265,0.0
133,267,0.0
134,269,1.0
135,271,0.0
136,273,1.0
137,275,0.0
138,277,0.0
139,279,0.0
140,281,1.0
141,283,1.0
142,285,0.0
143,287,0.0
144,289,0.0
145,291,0.0
146,293,1.0
147,295,0.0
148,297,0.0
149,299,0.0
