,x,y
0,1,75.625
1,3,40.0
2,5,15.0
3,7,15.0
4,9,13.125
5,11,12.5
6,13,7.5
7,15,11.25
8,17,7.5
9,19,9.375
10,21,6.25
11,23,8.75
12,25,5.625
13,27,4.375
14,29,5.625
15,31,4.375
16,33,5.0
17,35,6.875
18,37,0.0
19,39,6.25
20,41,3.125
21,43,3.75
22,45,3.125
23,47,3.125
24,49,3.125
25,51,2.5
26,53,2.5
27,55,2.5
28,57,1.875
29,59,3.75
30,61,1.25
31,63,1.25
32,65,1.875
33,67,2.5
34,69,0.0
35,71,1.875
36,73,1.875
37,75,1.875
38,77,2.5
39,79,1.25
40,81,1.25
41,83,0.0
42,85,0.0
43,87,1.25
44,89,0.0
45,91,1.25
46,93,0.0
47,95,6.25
48,97,1.25
49,99,1.25
50,101,1.25
51,103,3.75
52,105,1.25
53,107,1.25
54,109,1.25
55,111,1.25
56,113,2.5
57,115,0.0
58,117,1.25
59,119,2.5
60,121,1.25
61,123,0.0
62,125,1.25
63,127,3.75
64,129,1.25
65,131,2.5
66,133,1.25
67,135,1.25
68,137,1.25
69,139,2.5
70,141,2.5
71,143,1.25
72,145,0.0
73,147,0.0
74,149,1.25
75,151,1.25
76,153,0.0
77,155,1.25
78,157,1.25
79,159,0.0
80,161,0.0
81,163,2.5
82,165,2.5
83,167,1.25
84,169,1.25
85,171,0.0
86,173,0.0
87,175,1.25
88,177,2.5
89,179,0.0
90,181,1.25
91,183,1.25
92,185,1.25
93,187,0.0
94,189,1.25
95,191,0.0
96,193,0.0
97,195,0.0
98,197,0.0
99,199,0.0
100,201,2.5
101,203,1.25
102,205,0.0
103,207,0.0
104,209,1.25
105,211,0.0
106,213,1.25
107,215,1.25
108,217,0.0
109,219,0.0
110,221,0.0
111,223,0.0
112,225,0.0
113,227,1.25
114,229,0.0
115,231,1.25
116,233,0.0
117,235,0.0
118,237,0.0
119,239,0.0
120,241,0.0
121,243,0.0
122,245,0.0
123,247,0.0
124,249,0.0
125,251,0.0
126,253,1.25
127,255,0.0
128,257,0.0
129,259,1.25
130,261,1.25
131,263,0.0
132,265,0.0
133,267,0.0
134,269,1.25
135,271,0.0
136,273,0.0
137,275,0.0
138,277,0.0
139,279,0.0
140,281,0.0
141,283,0.0
142,285,0.0
143,287,0.0
144,289,0.0
145,291,1.25
146,293,2.5
147,295,0.0
148,297,0.0
149,299,1.25
