,x,y
0,1,131.66666666666669
1,3,44.16666666666667
2,5,35.0
3,7,25.0
4,9,31.666666666666668
5,11,20.0
6,13,21.666666666666668
7,15,21.666666666666668
8,17,17.5
9,19,15.833333333333334
10,21,8.333333333333334
11,23,11.666666666666668
12,25,5.833333333333334
13,27,5.0
14,29,10.0
15,31,9.166666666666668
16,33,10.0
17,35,4.166666666666667
18,37,6.666666666666667
19,39,6.666666666666667
20,41,5.0
21,43,4.166666666666667
22,45,3.3333333333333335
23,47,8.333333333333334
24,49,2.5
25,51,3.3333333333333335
26,53,1.6666666666666667
27,55,5.0
28,57,1.6666666666666667
29,59,6.666666666666667
30,61,1.6666666666666667
31,63,4.166666666666667
32,65,3.3333333333333335
33,67,
34,69,5.0
35,71,1.6666666666666667
36,73,1.6666666666666667
37,75,1.6666666666666667
38,77,2.5
39,79,2.5
40,81,3.3333333333333335
41,83,1.6666666666666667
42,85,1.6666666666666667
43,87,1.6666666666666667
44,89,1.6666666666666667
45,91,1.6666666666666667
46,93,2.5
47,95,1.6666666666666667
48,97,1.6666666666666667
49,99,1.6666666666666667
50,101,3.3333333333333335
51,103,1.6666666666666667
52,105,
53,107,
54,109,
55,111,3.3333333333333335
56,113,
57,115,
58,117,
59,119,1.6666666666666667
60,121,1.6666666666666667
61,123,1.6666666666666667
62,125,
63,127,1.6666666666666667
64,129,
65,131,3.3333333333333335
66,133,
67,135,1.6666666666666667
68,137,
69,139,3.3333333333333335
70,141,1.6666666666666667
71,143,1.6666666666666667
72,145,
73,147,
74,149,
75,151,
76,153,
77,155,
78,157,1.6666666666666667
79,159,
80,161,1.6666666666666667
81,163,
82,165,1.6666666666666667
83,167,
84,169,
85,171,
86,173,
87,175,
88,177,
89,179,1.6666666666666667
90,181,
91,183,1.6666666666666667
92,185,
93,187,
94,189,1.6666666666666667
95,191,
96,193,
97,195,
98,197,
99,199,
100,201,1.6666666666666667
101,203,
102,205,
103,207,1.6666666666666667
104,209,
105,211,
106,213,
107,215,
108,217,
109,219,
110,221,
111,223,
112,225,
113,227,1.6666666666666667
114,229,
115,231,
116,233,1.6666666666666667
117,235,
118,237,
119,239,
120,241,
121,243,
122,245,
123,247,
124,249,
125,251,
126,253,
127,255,
128,257,1.6666666666666667
129,259,
130,261,
131,263,
132,265,
133,267,
134,269,
135,271,
136,273,
137,275,
138,277,
139,279,
140,281,
141,283,
142,285,
143,287,
144,289,
145,291,
146,293,
147,295,
148,297,
149,299,
