,x,y
0,1,95.5
1,3,60.0
2,5,46.0
3,7,34.5
4,9,32.5
5,11,29.0
6,13,22.0
7,15,23.5
8,17,25.5
9,19,16.0
10,21,25.0
11,23,23.5
12,25,20.0
13,27,20.0
14,29,12.5
15,31,12.5
16,33,13.5
17,35,13.0
18,37,9.0
19,39,10.5
20,41,10.0
21,43,7.5
22,45,6.5
23,47,10.5
24,49,8.5
25,51,6.5
26,53,10.5
27,55,8.5
28,57,5.5
29,59,10.0
30,61,2.5
31,63,7.5
32,65,5.0
33,67,5.5
34,69,5.5
35,71,5.5
36,73,3.5
37,75,6.0
38,77,7.0
39,79,3.5
40,81,4.0
41,83,3.0
42,85,2.5
43,87,4.5
44,89,3.0
45,91,3.5
46,93,5.0
47,95,5.5
48,97,6.0
49,99,1.5
50,101,4.0
51,103,3.5
52,105,4.5
53,107,4.5
54,109,5.5
55,111,5.0
56,113,4.0
57,115,1.5
58,117,2.5
59,119,4.0
60,121,5.0
61,123,1.5
62,125,1.0
63,127,2.5
64,129,3.0
65,131,1.5
66,133,1.0
67,135,2.0
68,137,2.5
69,139,2.0
70,141,1.5
71,143,2.0
72,145,2.0
73,147,1.0
74,149,1.0
75,151,2.0
76,153,1.5
77,155,2.5
78,157,2.0
79,159,3.0
80,161,1.5
81,163,1.5
82,165,6.0
83,167,1.0
84,169,2.0
85,171,1.5
86,173,2.0
87,175,2.0
88,177,3.5
89,179,2.0
90,181,
91,183,1.0
92,185,2.0
93,187,2.0
94,189,2.0
95,191,3.0
96,193,1.0
97,195,
98,197,
99,199,1.0
100,201,1.5
101,203,
102,205,2.0
103,207,1.0
104,209,1.5
105,211,1.0
106,213,1.0
107,215,1.0
108,217,
109,219,3.0
110,221,1.0
111,223,
112,225,1.0
113,227,1.0
114,229,
115,231,1.0
116,233,1.0
117,235,1.5
118,237,1.0
119,239,2.0
120,241,1.0
121,243,1.0
122,245,1.0
123,247,
124,249,2.0
125,251,
126,253,
127,255,
128,257,1.0
129,259,1.0
130,261,1.0
131,263,1.0
132,265,2.0
133,267,2.0
134,269,1.0
135,271,1.0
136,273,
137,275,
138,277,1.0
139,279,
140,281,1.0
141,283,
142,285,
143,287,1.0
144,289,
145,291,1.0
146,293,1.0
147,295,
148,297,
149,299,1.0
