,x,y
0,-1.0,1.167363689053097e-62
1,-0.999,1.5495156428780052e-62
2,-0.998,2.0561988509357475e-62
3,-0.997,2.7278068895465535e-62
4,-0.996,3.617774509114037e-62
5,-0.995,4.796768171920332e-62
6,-0.994,6.358216726916935e-62
7,-0.993,8.42560873435333e-62
8,-0.992,1.1162118034284099e-61
9,-0.991,1.4783296805221483e-61
10,-0.99,1.9573808931817383e-61
11,-0.989,2.590948350803872e-61
12,-0.988,3.4286371717143536e-61
13,-0.987,4.535902027440013e-61
14,-0.986,5.9990870579136594e-61
15,-0.985,7.93206064461251e-61
16,-0.984,1.0484947256556813e-60
17,-0.983,1.3855615946791218e-60
18,-0.982,1.8304791500280773e-60
19,-0.981,2.4175924936204983e-60
20,-0.98,3.1921314962599857e-60
21,-0.979,4.2136437121596936e-60
22,-0.978,5.560504682123499e-60
23,-0.977,7.335842077341719e-60
24,-0.976,9.67531467754815e-60
25,-0.975,1.2757324037269732e-59
26,-0.974,1.6816415811703891e-59
27,-0.973,2.2160862069997516e-59
28,-0.972,2.9195722465695506e-59
29,-0.971,3.8453082981440256e-59
30,-0.97,5.063169497983205e-59
31,-0.969,6.664892212388746e-59
32,-0.968,8.770879747601152e-59
33,-0.967,1.1539116175138952e-58
34,-0.966,1.5176837971272757e-58
35,-0.965,1.995581237423157e-58
36,-0.964,2.623233132961e-58
37,-0.963,3.447336905974072e-58
38,-0.962,4.52907936574584e-58
39,-0.961,5.948609990421127e-58
40,-0.96,7.810888238613329e-58
41,-0.959,1.0253324778828495e-57
42,-0.958,1.3455764171933675e-57
43,-0.957,1.7653522790402557e-57
44,-0.956,2.315441221906093e-57
45,-0.955,3.0360960140545246e-57
46,-0.954,3.979940735710225e-57
47,-0.953,5.215753657802806e-57
48,-0.952,6.833400893055365e-57
49,-0.951,8.950269068255321e-57
50,-0.95,1.1719650098898722e-56
51,-0.949,1.5341667368777142e-56
52,-0.948,2.007750957522849e-56
53,-0.947,2.62679683120123e-56
54,-0.946,3.435757382641395e-56
55,-0.945,4.492601064375445e-56
56,-0.944,5.872899724036285e-56
57,-0.943,7.675146576620752e-56
58,-0.942,1.0027672310740964e-55
59,-0.941,1.3097637044654547e-55
60,-0.94,1.710271787986506e-55
61,-0.9390000000000001,2.2326295830549626e-55
62,-0.938,2.913718428634514e-55
63,-0.937,3.801524985598645e-55
64,-0.9359999999999999,4.958467606365545e-55
65,-0.935,6.4657137567470986e-55
66,-0.9339999999999999,8.428782173959163e-55
67,-0.933,1.0984809999616927e-54
68,-0.9319999999999999,1.4311977050238474e-54
69,-0.931,1.864172407413603e-54
70,-0.9299999999999999,2.4274588829363586e-54
71,-0.929,3.160072539936938e-54
72,-0.9279999999999999,4.112648419275932e-54
73,-0.927,5.350883297830617e-54
74,-0.926,6.959991940314833e-54
75,-0.925,9.050474662521262e-54
76,-0.924,1.1765579960152437e-53
77,-0.923,1.5290957638671129e-53
78,-0.922,1.986714187965175e-53
79,-0.921,2.580568929716448e-53
80,-0.92,3.351003623312157e-53
81,-0.919,4.350244768941554e-53
82,-0.918,5.645882716029769e-53
83,-0.917,7.325366760561213e-53
84,-0.916,9.501808151568544e-53
85,-0.915,1.232146943544907e-52
86,-0.914,1.597342744122469e-52
87,-0.913,2.070203722798893e-52
88,-0.912,2.682300433449694e-52
89,-0.911,3.474410405096675e-52
90,-0.91,4.499188374314248e-52
91,-0.909,5.824606617472538e-52
92,-0.908,7.538386223182765e-52
93,-0.907,9.753703111855304e-52
94,-0.906,1.2616533424538566e-51
95,-0.905,1.6315106596764514e-51
96,-0.904,2.109206744341253e-51
97,-0.903,2.7260119147044867e-51
98,-0.902,3.5222137705983274e-51
99,-0.901,4.54970286416678e-51
100,-0.9,5.875295582597577e-51
101,-0.899,7.585003220305642e-51
102,-0.898,9.78951511046224e-51
103,-0.897,1.263123907641124e-50
