,x,y
0,-1.0,2.4114077110816975e-111
1,-0.999,3.989506262780249e-111
2,-0.998,6.597101873659384e-111
3,-0.997,1.090367161955758e-110
4,-0.996,1.801266077421349e-110
5,-0.995,2.974188639182121e-110
6,-0.994,4.908453534621998e-110
7,-0.993,8.09666911680861e-110
8,-0.992,1.3349150594703178e-109
9,-0.991,2.19981625583789e-109
10,-0.99,3.623303513482701e-109
11,-0.989,5.964974025167392e-109
12,-0.988,9.815172398354321e-109
13,-0.987,1.6142576048097613e-108
14,-0.986,2.6535867106663635e-108
15,-0.985,4.3599274201824935e-108
16,-0.984,7.15996285558197e-108
17,-0.983,1.1752433772859329e-107
18,-0.982,1.9281037059749037e-107
19,-0.981,3.1616842792970174e-107
20,-0.98,5.1819371806349665e-107
21,-0.979,8.488898120847174e-107
22,-0.978,1.3899399338190514e-106
23,-0.977,2.274711260124923e-106
24,-0.976,3.7208490859583124e-106
25,-0.975,6.083357898278114e-106
26,-0.974,9.941003194107972e-106
27,-0.973,1.6236880429258113e-105
28,-0.972,2.650699555274546e-105
29,-0.971,4.325177663961678e-105
30,-0.97,7.053959006278362e-105
31,-0.969,1.149866562111744e-104
32,-0.968,1.8734732308608364e-104
33,-0.967,3.050935826239309e-104
34,-0.966,4.9659710908802545e-104
35,-0.965,8.079060025808049e-104
36,-0.964,1.313720619136464e-103
37,-0.963,2.135161507123232e-103
38,-0.962,3.4685182184340557e-103
39,-0.961,5.631742147813461e-103
40,-0.96,9.13959766415435e-103
41,-0.959,1.4825075964650392e-102
42,-0.958,2.4035452923629297e-102
43,-0.957,3.894872334005981e-102
44,-0.956,6.308406595338333e-102
45,-0.955,1.0212490389954753e-101
46,-0.954,1.6524532371277536e-101
47,-0.953,2.672466248965991e-101
48,-0.952,4.319970823465399e-101
49,-0.951,6.979670677766644e-101
50,-0.95,1.1271314902893647e-100
51,-0.949,1.8192809365082262e-100
52,-0.948,2.9350160980721226e-100
53,-0.947,4.732675634872415e-100
54,-0.946,7.627610820097568e-100
55,-0.945,1.2287282568545273e-99
56,-0.944,1.978375381055968e-99
57,-0.943,3.1838095847767645e-99
58,-0.942,5.121191385140378e-99
59,-0.941,8.233423606086714e-99
60,-0.94,1.323047534570635e-98
61,-0.9390000000000001,2.1249854905186252e-98
62,-0.938,3.411316570015857e-98
63,-0.937,5.4736069986961616e-98
64,-0.9359999999999999,8.778306371717248e-98
65,-0.935,1.407127302122194e-97
66,-0.9339999999999999,2.254455040196078e-97
67,-0.933,3.6102335803887087e-97
68,-0.9319999999999999,5.77849255092589e-97
69,-0.931,9.244413171001259e-97
70,-0.9299999999999999,1.4781879959226257e-96
71,-0.929,2.3624657891193714e-96
72,-0.9279999999999999,3.77386985308743e-96
73,-0.927,6.025510437957752e-96
74,-0.926,9.615819465099906e-96
75,-0.925,1.5337843155837832e-95
76,-0.924,2.4452756174030808e-95
77,-0.923,3.896519697450805e-95
78,-0.922,6.205995669411365e-95
79,-0.921,9.879423302107982e-95
80,-0.92,1.5719446622785865e-94
81,-0.919,2.499933442596864e-94
82,-0.918,3.973792382014639e-94
83,-0.917,6.313459996201884e-94
84,-0.916,1.0025712043440095e-93
85,-0.915,1.5912871437185364e-93
86,-0.914,2.5244537295198167e-93
87,-0.913,4.002872982371324e-93
88,-0.912,6.343979012343005e-93
89,-0.911,1.0049332114803335e-92
90,-0.91,1.591102633228246e-92
91,-0.909,2.5179362096969146e-92
92,-0.908,3.9826925876006386e-92
93,-0.907,6.296430033652704e-92
94,-0.906,9.949414205883797e-92
95,-0.905,1.5713979225166743e-91
96,-0.904,2.4806207457843104e-91
97,-0.903,3.9139935157541654e-91
98,-0.902,6.172560648880513e-91
99,-0.901,9.729626375613041e-91
100,-0.9,1.5328953067175343e-90
101,-0.899,2.4138726790575853e-90
102,-0.898,3.7992839906728032e-90
103,-0.897,5.9768821071219645e-90
104,-0.896,9.397950539737023e-90
105,-0.895,1.4769886370480443e-89
106,-0.894,2.3200999079593497e-89
107,-0.893,3.64268613851086e-89
108,-0.892,5.7163966099631784e-89
109,-0.891,8.966201330609101e-89
110,-0.89,1.405659569357875e-88
111,-0.889,2.2026087195257547e-88
112,-0.888,3.449690147847428e-88
113,-0.887,5.400181493646349e-88
114,-0.886,8.449327766360329e-88
115,-0.885,1.321361024754738e-87
116,-0.884,2.0654104079324953e-87
117,-0.883,3.2268350330829977e-87
118,-0.882,5.038864722709406e-87
119,-0.881,7.864555262194268e-87
120,-0.88,1.226877413813246e-86
121,-0.879,1.912994440640914e-86
122,-0.878,2.9813418609079145e-86
123,-0.877,4.644033904902029e-86
124,-0.876,7.23043654480423e-86
125,-0.875,1.1251727092615317e-85
126,-0.874,1.7500860152147225e-85
127,-0.873,2.720728039788891e-85
128,-0.872,4.2276244811203893e-85
129,-0.871,6.565884054797866e-85
130,-0.87,1.0192378620375598e-84
131,-0.869,1.581406139846891e-84
132,-0.868,2.4524311662250757e-84
133,-0.867,3.8013316905521317e-84
134,-0.866,5.889253374012385e-84
135,-0.865,9.119483590351378e-84
136,-0.864,1.411450937634133e-83
137,-0.863,2.1834681460977607e-83
138,-0.862,3.376085743991473e-83
139,-0.861,5.217537861025412e-83
140,-0.86,8.059410632312366e-83
141,-0.859,1.2443039857031895e-82
142,-0.858,1.9201503426873755e-82
143,-0.857,2.9616211961090687e-82
144,-0.856,4.565720468246109e-82
145,-0.855,7.035171053949114e-82
146,-0.854,1.0834915723955626e-81
147,-0.853,1.6678690414344566e-81
148,-0.852,2.566160944213705e-81
149,-0.851,3.9463115443638266e-81
150,-0.85,6.065748207807576e-81
151,-0.849,9.318862908098163e-81
152,-0.848,1.4309583742548237e-80
153,-0.847,2.196223892868903e-80
154,-0.846,3.3690833617213537e-80
155,-0.845,5.1657387134802634e-80
156,-0.844,7.91659900889205e-80
157,-0.843,1.2126358219065058e-79
158,-0.842,1.8565543719522565e-79
159,-0.841,2.840995106218304e-79
160,-0.84,4.3452906606847796e-79
161,-0.839,6.642823482428836e-79
162,-0.838,1.0150142183820639e-78
163,-0.837,1.550161952221673e-78
164,-0.836,2.3662877424590373e-78
165,-0.835,3.6103023039413515e-78
166,-0.834,5.505605847630825e-78
167,-0.833,8.391743448499333e-78
168,-0.832,1.2784531377533321e-77
169,-0.831,1.9467176310312177e-77
170,-0.83,2.9628293940745412e-77
171,-0.829,4.5070861624253784e-77
172,-0.828,6.852840286311766e-77
173,-0.827,1.041431940696371e-76
174,-0.826,1.5818915642752432e-76
175,-0.825,2.401640841608886e-76
176,-0.8240000000000001,3.644390823162979e-76
177,-0.823,5.52748231709288e-76
178,-0.8220000000000001,8.37944612450423e-76
179,-0.821,1.2696639763917857e-75
180,-0.8200000000000001,1.92286066779795e-75
181,-0.819,2.9106659668066887e-75
182,-0.8180000000000001,4.403747943333173e-75
183,-0.817,6.659445551495325e-75
184,-0.8160000000000001,1.0065589737924821e-74
185,-0.815,1.520638252846798e-74
186,-0.8140000000000001,2.296138767285699e-74
187,-0.813,3.4654200561343015e-74
188,-0.812,5.227561749718703e-74
189,-0.8109999999999999,7.881846853477647e-74
190,-0.81,1.187797334430211e-73
191,-0.8089999999999999,1.789131384649099e-73
192,-0.808,2.6935662109062516e-73
193,-0.8069999999999999,4.053205379771781e-73
194,-0.806,6.096142341097127e-73
195,-0.8049999999999999,9.16425407015896e-73
196,-0.804,1.376970629045713e-72
197,-0.8029999999999999,2.0679392014259905e-72
198,-0.802,3.10410489742309e-72
199,-0.8009999999999999,4.657153424450497e-72
200,-0.8,6.983774944340719e-72
201,-0.7989999999999999,1.0467560006866628e-71
202,-0.798,1.568144995775481e-71
203,-0.7969999999999999,2.348077934199188e-71
204,-0.796,3.5141826622233265e-71
205,-0.7949999999999999,5.2568028516920854e-71
206,-0.794,7.859674876718548e-71
207,-0.7929999999999999,1.1745540496797042e-70
208,-0.792,1.7543933212712056e-70
209,-0.791,2.6191867059576118e-70
210,-0.79,3.908332316877898e-70
211,-0.789,5.829107213472097e-70
212,-0.788,8.689567005398465e-70
213,-0.787,1.29473164582167e-69
214,-0.786,1.9281771125255728e-69
215,-0.785,2.8701171079134494e-69
216,-0.784,4.270098025238605e-69
217,-0.783,6.349822801020687e-69
218,-0.782,9.437802843714156e-69
219,-0.781,1.4020571901341249e-68
220,-0.78,2.081833970003437e-68
221,-0.779,3.0896692192475834e-68
222,-0.778,4.583143076709031e-68
223,-0.777,6.7951708076363735e-68
224,-0.776,1.0069847049375078e-67
225,-0.775,1.4915262596994368e-67
226,-0.774,2.208129131259306e-67
